編號,品牌通路,品牌,系列中文名稱,系列英文名稱,中文品名,英文品名,中文簡介,英文簡介,用途,品項,功效,上市日期,規格,販售國家,停產國家,是否限量,產品別名,建立時間,修改時間,是否為口碑之星,是否在前台隱藏,精選文章數,是否上過首頁推薦,產品圖,圖1,圖2,圖3,圖4,圖5,
46,專櫃,LANEIGE 蘭芝,特別護理,,睡美人香氛水凝膜-淨亮保濕升級版,Water Sleeping Mask,精準針對夜間黃金美容時段、專利好眠香氛SleepscentTM有效促進睡眠品質，睡眠美容功效更加倍；溫和配方有效減輕因日間壓力造成的肌膚泛紅敏感現象。,,保養品,"保養面膜,","保濕,舒緩,",2015/4/1,"容量:70ml:NT990,","TW, MY",,N,"LANEIGE 晚安面膜,睡美人香氛水凝膜 淨亮保濕升級版,蘭芝 晚安面膜",2015/7/27,,N,N,35,Y,https://pic.pimg.tw/styleme/1471838348-2995747101.jpg,,,,,,
49,專櫃,,特潤超導修護系列,,特潤超導眼部修護精萃,Advanced Night Repair Eye Serum,不僅能成功修護3C藍光所帶來的肌膚傷害，同時預防UV紫外線帶來的老化損傷，全方位修護所有眼周肌膚的老化現象。,,保養品,"眼部保養,","保濕,抗老,修護,",2014/7/1,"容量:15ml:NT2600:RM0,","TW, MY",,N,"dna特潤再生眼部修護精萃,dna特潤眼部修護超導精萃,estee lauder雅詩蘭黛dna特潤再生眼部修護精萃,特潤眼部修護精華,超智慧dna特潤眼部修護精華,超智慧dna特潤眼部修護超導精萃,雅詩蘭黛dna再生眼部精萃,雅詩蘭黛dna特潤再生眼部修護精萃,雅詩蘭黛DNA特潤眼部修護超導精萃,雅詩蘭黛dna眼部修護精萃,雅詩蘭黛特潤再生眼部修護精粹,雅詩蘭黛特潤眼部修護超導精萃,雅詩蘭黛特潤眼部精萃,雅詩蘭黛超智慧dna特潤眼部修護精華,雅詩蘭黛超智慧DNA特潤眼部修護超導精萃",2015/7/27,,N,N,52,Y,https://pic.pimg.tw/styleme/1471837969-2049535762.jpg,,,,,,
52,專櫃,kiehl's 契爾氏,眼部保養,,酪梨眼霜,Creamy Eye Treatment with Avocado,能幫助肌膚重回自然保濕的狀態，高科技的「雙重保濕機制」，在眼霜接觸到肌膚的剎那，會自動由乳霜狀質地轉變為水狀質地，帶給肌膚最大的保水度，以及柔嫩的觸感。,,保養品,"眼部保養,","保濕,滋潤,",,"容量:14ml:NT1100,","TW, MY",,N,"kiel's 酪梨眼霜,契爾氏 酪梨眼霜,酪梨眼霜",2015/7/27,,N,N,24,Y,https://pic.pimg.tw/styleme/1443058375-3554959276.jpg,,,,,,
55,專櫃,sisley 希思黎,臉部保養系列,,抗皺活膚眼唇霜,Eye & Lip Contour Cream,專為解決眼周肌膚老化問題，並可有效減少皺紋生成、改善黑眼圈及眼周浮腫疲勞,,保養品,"眼部保養,","保濕,滋潤,抗老,抗皺,修護,",,"容量:15ml:NT5900,","TW, MY",,N,"sisley 眼唇霜,希思黎 眼唇霜,抗皺活膚眼唇霜",2015/7/27,,N,N,6,N,https://pic.pimg.tw/styleme/1471838129-3545220448.jpg,,,,,,
58,專櫃,,Nrf2系列,,Nrf2超智慧乳霜,Revitalizing Supreme Global Anti-Aging Creme,Nrf2超智慧乳霜，透過全球專利IntuiGenTM超智慧基因抗老科技，自動偵測肌膚需求，解決並預防暗沈、乾燥、細紋、鬆弛……等所有肌膚困擾！,,保養品,"乳霜,","保濕,抗老,緊實,改善細紋,透亮,",2015/1/1,"容量:50ml:NT3000:RM0,","TW, MY",,N,"estee lauder Nrf2超智慧乳霜,estee lauder超智慧乳霜,lauder 智慧乳霜,雅詩蘭黛 Nrf2,雅詩蘭黛 智慧乳霜,雅詩蘭黛 超智慧乳霜,雅詩蘭黛Nrf2超智慧乳霜,雅詩蘭黛超智慧乳霜",2015/7/27,,N,N,47,Y,https://pic.pimg.tw/styleme/1471859138-2982583632.jpg,,,,,,
61,專櫃,SHISEIDO 資生堂（東京櫃）,百優系列,,百優精純乳霜,Bio-Performance Advanced Super Revitalizer Cream,平滑肌膚、柔嫩肌膚、改善細紋、高效保濕四大功效合而為一，幫助肌膚對抗延緩老化。,,保養品,"乳霜,","保濕,滋潤,抗老,",2013/4/1,"容量:50ml:NT2600,","TW, MY",,N,"shiseido百優精純乳霜,shiseido精純乳霜,百優精純乳霜,資生堂 百優精純乳霜,資生堂 精純乳霜,資生堂 銀貂,資生堂乳霜,資生堂百優精純乳霜",2015/7/27,,N,N,31,Y,https://pic.pimg.tw/styleme/1471837782-350285976.jpg,,,,,,
64,專櫃,SK-II,抗衰老系列,,肌源新生賦活精萃,Stempower Essence,能夠提升細胞防護與新生功能，從肌底注入能量養分，修復同時強化肌膚回彈力，使肌膚由裡到外回彈，逆轉肌膚各種老化現象。,,保養品,"精華液,","保濕,抗老,緊實,",,"容量:30ml:NT3500,","TW, MY",,N,"SK-II 肌源新生賦活精萃,SK-II新生賦活精萃,SK-II肌源新生賦活精萃,SK-II賦活精萃,sKII 賦活精華,SKII 賦活精萃,肌源新生賦活精萃",2015/7/27,,N,N,17,N,https://pic.pimg.tw/styleme/1443058243-3238764805.jpg,,,,,,
67,專櫃,Clarins 克蘭詩,黃金雙激萃系列,,黃金雙激萃,Double Serum,萃取自20種最有效的植物精萃及創新科技成分，得以滲透至肌膚底層，全面鎖定再生、保濕、滋養、活氧、保護等5大控齡修復關鍵，修護受損細胞，建構完整的肌膚修復網路，膠原再生，緊緻肌膚，肌膚細、彈、緊、潤、亮，全面激活。,,保養品,"精華液,","保濕,滋潤,抗老,修護,",2012/9/1,"容量:30ml:NT2600,","TW, MY",,N,"clarins 黃金雙激萃,克蘭詩 雙激粹,克蘭詩 黃金雙激萃",2015/7/27,,N,N,32,Y,https://pic.pimg.tw/styleme/1471859017-2554419716.jpg,,,,,,
70,專櫃,GUERLAIN 嬌蘭,皇家蜂王乳系列,,皇家蜂王乳提顏凝露,Abeille Rayole Preparing Toner,獨特的「凝露轉化科技」，讓高濃度的化妝水在接觸到肌膚後，立即由乳白色的凝露，逐漸轉為透明的精華水，釋放蜂王乳中的活性成分，高滲透的成份能，立即被肌膚吸收活化肌膚。,,保養品,"化妝水,","保濕,抗老,緊實,拉提,",2011/8/1,"容量:150ml:NT2280,","TW, MY",,N,"guerlain提顏凝露,guerlain皇家蜂王乳提顏凝露,嬌蘭 提顏凝露,嬌蘭提顏凝露,嬌蘭皇家蜂王乳提顏凝露,嬌蘭蜂王乳凝露,嬌蘭蜂王乳提顏凝露,皇家蜂王乳提顏凝露",2015/7/27,,N,N,13,Y,https://pic.pimg.tw/styleme/1471837872-2029327439.jpg,,,,,,
73,專櫃,,激光煥白系列,,激光煥白淨斑精華,Blanc Expert Spot Eraser Melanolyser,"全新激光煥白淨斑精華,成分再一次全新升級!透過瓦解力、抑制力以及防禦力,一次縮小頑固 斑點的面積、淡化斑點顏色、減少斑點數目,同時徹底溶解斑點,能夠完美達到 24 小時防禦肌膚, 不再生成任何斑點!",,保養品,"精華液,","美白,透亮,均勻膚色,淡斑,提升光澤,",2015/3/1,"容量:30ml:NT3500,容量:50ml:NT4700,","TW, MY",,N,"lancome 淨斑 激光煥白,Lancome 激光煥白淨斑精華,Lancome激光煥白淨斑精華,激光煥白 淨斑 蘭蔻,激光煥白淨斑精華,蘭蔻 激光煥白淨斑精華,蘭蔻激光煥白淨斑精華",2015/7/28,,N,N,28,Y,https://pic.pimg.tw/styleme/1471837699-3051744596.jpg,,,,,,
76,專櫃,,極淨光透白修護系列,,極淨光透白修護精華,Crescent White Full Cycle Brightening Spot Correcting Essince,運用日本厚生省QD藥用美白認證的獨家「水透光修護美白科技」，增加肌膚抗黑抵抗力，讓光不上身、從根本成為不易變黑的膚質,,保養品,"精華液,","美白,透亮,均勻膚色,提升光澤,",2015/3/1,"容量:30ml:NT3500,","TW, MY",,N,"estee lauder 雅詩蘭黛 極淨光透白修護精華,estee lauder雅詩蘭黛 極淨光透白修護精華,estee lauder雅詩蘭黛極淨光透白修護精華,極淨光透白修護精華,雅詩蘭黛 極淨光透白修護精華,雅詩蘭黛光透白修護精華,雅詩蘭黛極淨光透白修護精華",2015/7/28,,N,N,5,Y,https://pic.pimg.tw/styleme/1443058149-744162273.jpg,,,,,,
79,專櫃,kiehl's 契爾氏,激光極淨白系列,,激光極淨白淡斑精華,Clearly Corrective Dark Spot Solution,可修正及勻亮膚色，100%主動打擊藏於肌膚底層的頑固黑斑，使用後不會使肌膚變的乾燥，秘密全在於此配方中的明星成份『激光活能C』，可修正各種斑點問題，更能提升肌膚水潤度。,,保養品,"精華液,","保濕,美白,透亮,均勻膚色,淡斑,提升光澤,",2014/8/1,"容量:30ml:NT2400:RM0,容量:50ml:NT3200:RM0,","TW, MY",,N,"kiehl s 激光極淨白淡斑精華,kiehl s激光極淨白淡斑精華,kiehl's 激光極淨白淡斑精華,kiehl's激光極淨白淡斑精華,kiehls激光極淨白淡斑精華,kiehl‘s淨白淡斑精華,契爾氏 淡斑精華,契爾氏 激光極淨白",2015/7/28,,N,N,83,Y,https://pic.pimg.tw/styleme/1443058176-1212871370.jpg,,,,,,
82,專櫃,SHISEIDO 資生堂（東京櫃）,驅黑淨白系列,,驅黑淨白露CR,Melanoreduce CR Whitening Serum,打破了以往消費者對美白保養品使用感易乾燥的迷思，其優異的保濕效果可使肌膚紋理恢復細緻度及保水力，並有助於美白成分的吸收，幫助達到保濕與美白雙重效果，實現抗斑美白新淨界。,,保養品,"精華液,","保濕,美白,透亮,均勻膚色,淡斑,提升光澤,",2013/2/5,"容量:45g:NT3700,","TW, MY",,N,"shiseido驅黑淨白露,淨白驅黑露,資生堂 淨白露,資生堂驅黑露,驅黑淨白露,驅黑淨白露CR",2015/7/28,,Y,N,14,Y,https://pic.pimg.tw/styleme/1471837545-2698602807.jpg,,,,,,
85,專櫃,SK-II,美白系列,,超進化光感煥白精華液,Cellumination Aura Essence,一次解決影響亞洲人膚色的四大關鍵：提升細胞光線均勻折射、全方位抑制黑色素，對抗蛋白質氧化與醣化，及強化角質細胞結構飽滿，讓女性肌膚煥發女神般的360度鑽白光蘊，掌握肌膚感光度！,,保養品,"精華液,","美白,透亮,均勻膚色,淡斑,提升光澤,",2014/3/5,"容量:30ml:NT4600:RM555,容量:50ml:NT6600:RM790,容量:75ml:RM1110:NT0,","TW, MY",,N,"SK II 超進化光感煥白精華液,SK-II 超進化光感煥白精華液,SK-II光感煥白精華液,SK-II超進化光感煥白精華液,SKII 煥白精華液,SKII 超進化光感",2015/7/28,,N,N,15,Y,https://pic.pimg.tw/styleme/1471837614-1671046962.jpg,,,,,,
88,專櫃,YSL 聖羅蘭,底妝系列,,超模聚焦光感粉底液 無瑕版 SPF30/PA+++,Touche Ecla Le Teint,延續「YSL超模聚焦光感粉底液」的柔焦凝露+超微型鏡面流金配方，以及專為亞洲女性研發的全新「持久服貼科技」配方，能帶來更持久無瑕的超模光肌底。,,彩妝品,"粉底液,","光澤,均勻膚色,防曬,遮瑕,好推勻,",2013/3/1,"容量:30ml:NT1650:RM0,","TW, MY",,N,ysl 超模聚焦光感粉底液 無瑕版,2015/7/28,,N,N,30,Y,https://pic.pimg.tw/styleme/1471834629-1676414726.jpg,,,,,,
91,專櫃,,底妝,,粉持久完美持妝粉底SPF10/PA++,Double Wear Stay in Place Makeup,獨特15小時完美膚控持妝科技能將清爽透氣的超微柔焦隱型粉體精準定位於肌膚，有效遮瑕又能讓肌膚呼吸不感黏膩，不堵塞毛孔的升級控油成分，同時添加高效濕潤因子，直接從空氣中吸收水分補充保持肌膚自然水分平衡，妝效更加完美均勻、無懈可擊。,,彩妝品,"粉底液,","均勻膚色,長效持妝,防曬,遮瑕,",2005/11/1,"容量:30ml:NT1600:RM0,","TW, MY",,N,"estee lauder完美持妝粉底,estee lauder粉持久完美持妝粉底,estee lauder雅詩蘭黛完美持妝粉底,完美持妝粉底,粉持久完美持妝粉底,雅詩 12小時,雅詩 完美持妝,雅詩 完美持妝粉底,雅詩蘭黛 超級粉底,雅詩蘭黛完美持妝粉底,雅詩蘭黛粉持久完美持妝粉底",2015/7/28,,N,N,98,Y,https://pic.pimg.tw/styleme/1471835040-560829616.jpg,,,,,,
94,專櫃,,激光煥白系列,,激光煥白氣墊粉餅 SPF23/PA++,Blanc Expert Cushion Compact,"近百萬微氣孔的氣墊海綿,蘊含超細緻的 美白粉底。輕壓氣墊,就能讓粉體轉換成噴霧質地,加上最新激光煥白淨斑精華的 注入,只要 10 秒,就能讓妝容一拍即亮,瞬間勻亮無瑕!",,彩妝品,"氣墊粉餅,","光澤,透亮,均勻膚色,防曬,薄透,好推勻,",2015/3/1,"容量:14g:NT1600,","TW, MY",,N,"LANCOME 氣墊粉餅,LANCOME激光煥白氣墊粉餅,激光煥白氣墊粉餅,蘭蔻 氣墊粉餅,蘭蔻 激光煥白氣墊粉餅",2015/7/28,,N,N,111,Y,https://pic.pimg.tw/styleme/1471833710-3649070710.png,,,,,,
97,專櫃,BOBBI BROWN 芭比布朗,,,高保濕修護精華粉底 SPF40/PA+++,Intensive Skin Serum Foundation SPF40 PA +++,,,彩妝品,"粉底液,","保濕,光澤,防曬,遮瑕,好推勻,",2015/3/1,"容量:30ml:NT2350:RM198,","TW, MY",,N,"bobbi brown修護精華粉底,bobbi brown冬蟲夏草 粉底,bobbi brown精華修護粉底,bobbi brown高保濕修護精華粉底,bobbi brown高保濕精華粉底,bobbi 修護粉底,bobbi 冬蟲夏草,bobbi 精華粉底,冬蟲夏草粉底,芭比 冬蟲夏草",2015/7/28,,N,N,54,N,https://pic.pimg.tw/styleme/1443058617-3826877401.jpg,,,,,,
100,專櫃,Sulwhasoo 雪花秀,雪膚花容底妝系列,,完美絲絨氣墊粉霜,Perfecting Cushion,10 秒內即可打造出粉嫩 Q 彈、透亮光澤美肌，更能輕鬆從早上 10 點鐘到晚上 10 點鐘，長效維持十全十美的無瑕妝容。,,彩妝品,"氣墊粉餅,","保濕,光澤,均勻膚色,",2014/1/1,"容量:15gX2:NT1780,","TW, MY",,N,"Sulwhasoo  完美絲絨氣墊粉霜,完美絲絨氣墊粉霜,絲絨氣墊粉霜,雪花秀 完美絲絨氣墊粉霜",2015/7/28,,N,N,76,Y,https://pic.pimg.tw/styleme/1471834799-4054318329.jpg,,,,,,
103,專櫃,cle de peau beaute 肌膚之鑰,,,星鑽漾采眼影,Eye Color Quad,"創造立體深邃的吸睛眼眸，四色中包含光鑽面與霧絨感的質地完美交疊，可任意變換搭配，自由揮灑璀璨光采。富含肌膚之鑰獨特保養成分，實現顯色服貼的細膩漸層質感，演繹絢爛星空的華麗優雅眼神。蕊心NT$1,700, 外盒NT$900",,彩妝品,"眼影,","珠光,顯色,",,"容量:6g:NT2600,","TW, MY",,N,"cpb星鑽漾采眼影,星鑽漾采眼影,肌膚之鑰 星鑽,肌膚之鑰星鑽漾彩眼影,肌膚之鑰星鑽漾采眼影",2015/7/28,,N,N,36,Y,https://pic.pimg.tw/styleme/1471833970-3752241194.jpg,,,,,,
109,專櫃,M.A.C,,,絲絨珠光眼影盤,Veluxe Pearlfusion Shadow,迷人、綿密又輕盈，提供二種傑出效果的混血眼影：濕用時，提供閃著金屬光澤的超飽和色彩；乾用時則提供有著柔和、閃光妝效的薄透顯色度。,,彩妝品,"眼影,","珠光,顯色,",,"容量:5.6g:NT1400,容量:4g:RM195:NT0,","TW, MY",,N,"mac 五色眼影,MAC 絲絨珠光眼影,mac 絲絨眼影,mac絲絨珠光,mac絲絨珠光眼彩盤,mac絲絨珠光眼影,mac絲絨珠光眼影盤",2015/7/28,,N,N,9,Y,https://pic.pimg.tw/styleme/1443058948-3555607084.jpg,,,,,,
112,專櫃,Clarisonic 科萊麗,音波淨膚儀系列,,音波淨膚儀ARIA,ARIA Facial Cleansing Brush,擁有3段速淨膚模式，無論需要溫和清潔、基礎淨化或是毛孔深層清潔，都可以全面滿足！共有優雅白、個性黑、甜心桃紅三色選擇，鋼琴烤漆、時尚流線設計、USB充電設計，不只完美淨膚，讓洗臉也可以成為一種時尚享受！,,美容工具,"保養工具,",,2014/8/8,"容量:1組:NT6300:RM779,","TW, MY",,N,"Clarasonic  ARIA,科萊麗 ARIA,科萊麗ARIA音波淨膚儀,音波淨膚儀ARIA",2015/7/28,,N,N,32,Y,https://pic.pimg.tw/styleme/1471836543-1297898600.jpg,,,,,,
115,專櫃,kanebo 佳麗寶,LUNASOL彩妝系列,,晶巧光燦眼盒,Lunasol Skin Modeling Eyes,清透顯色和纖細珠光，輕盈疊擦，打造澄淨深邃眼眸。護膚保養成份：向日葵精油、胡蘿蔔精油等植物保濕成份、絹絲粉粒子。,,彩妝品,"眼影,","珠光,顯色,好上色,",,"容量:4g:NT1800:RM196,","TW, MY",,N,"kanebo晶巧光燦眼影,kanebo晶巧光燦眼盒,lunasol 晶巧光燦,lunasol 眼盤,lunasol晶巧光燦眼影,lunasol晶巧光燦眼盒,佳麗寶 晶巧光燦眼影,佳麗寶 晶巧光燦眼盒,佳麗寶晶巧光燦眼影",2015/7/28,,N,N,152,Y,https://pic.pimg.tw/styleme/1471835500-1030980106.jpg,,,,,,
118,專櫃,YSL 聖羅蘭,眼部彩妝,,拼接時尚五色眼彩盤,Couture Palette,為眼神而打造專屬的蒙德里安洋裝，以幾何拼接為概念，組合 5 種霧面光澤 和金屬光感眼影質地，完美創造出 YSL 金色眼影盒中令人目不轉睛的自信眼神。2016推全新2色。,,彩妝品,"眼影,","珠光,顯色,好上色,",2016/8/1,"容量:5g:NT2400,","TW, MY",,N,"ysl 五色眼影,ysl 拼接時尚五色眼盤,ysl 拼接眼影,拼接時尚五色眼彩盤,聖羅蘭 五色眼影,聖羅蘭 拼接眼影",2015/7/28,,N,N,13,N,https://pic.pimg.tw/styleme/1483539921-2460409842.png,,,,,,
121,專櫃,Dior 迪奧,眼部彩妝,,經典五色眼影,5 Couleurs Coutre Couture Colours & Effects Eyeshdow Palete,創新質地，能輕易打造不同妝感：霧面眼影深邃低調，色澤搶眼動人，濕亮質地使雙眸散發令人驚豔的光澤，絲緞質地展現純粹的色澤，質地柔滑，容易上色，與肌膚完美結合。2017雪晶靈彩妝系列推出限量1色。,,彩妝品,"眼影,","珠光,顯色,好上色,",2014/8/1,"容量:7g:NT2350:RM0,","TW, MY",,N,"Dior 經典五色眼影,迪奧 經典五色眼影",2015/7/28,,N,N,11,Y,https://pic.pimg.tw/styleme/1486127480-3782390995.jpg,,,,,,
124,專櫃,SHISEIDO 資生堂（東京櫃）,,,心機星魅舞色頰彩,Maquillage Dramatic Mood Veil,由５色暖色系粉色調所組成，使粉末更加細緻服貼，柔順光滑無粉感，呈現宛如從原有肌膚所透出的柔嫩紅暈感。加強五官深邃度，可調控色彩，讓肌膚綻放出明亮柔美光澤度。,,彩妝品,"腮紅修容,","服貼,珠光,好上色,",2015/2/1,"容量:5g:NT1100,","TW, MY",,N,"shiseido 心機星魅舞色頰彩,SHISEIDO 心機腮紅,shiseido心機星魅舞色頰彩,心機星魅五色頰彩,心機星魅舞色頰彩,資生堂 心機腮紅,資生堂心機星魅舞色頰彩",2015/7/28,,N,N,14,Y,https://pic.pimg.tw/styleme/1471834229-1370527841.jpg,,,,,,
127,專櫃,GIORGIO ARMANI 亞曼尼,,,奢華漂染腮紅盒,Cheek Fabric,透過透過前所未有的「漂染交織純色科技Color Essenza Technology」，使用透明細緻微粒取代傳統白色粉體，帶來宛如臉部專屬織品的精準美麗色澤，彷若義大利陽光的動人光感，創造臉部彩妝的嶄新境界。,,彩妝品,"腮紅修容,","服貼,顯色,好上色,",2014/5/1,"容量:4g:NT1700,","TW, MY",,N,"giorgio armani奢華漂染腮紅,奢華漂染腮紅盒,漂染腮紅,漂染腮紅盒",2015/7/28,,N,N,22,Y,https://pic.pimg.tw/styleme/1471835966-2529709739.jpg,,,,,,
130,專櫃,NARS,頰彩,,炫色腮紅,Orgasm Blush,可創造出自然健康的妝感，讓雙頰瞬間變得亮麗活潑。2017/01限量粉嫩普普系列推出紅寶石甜柚、閃耀裸粉、薰衣草粉全新3色。2017/02春彩推出限定新色：閃耀糖果粉。,,彩妝品,"腮紅修容,","服貼,顯色,好上色,",2008/4/10,"容量:4.8g:NT1050:RM0,","TW, MY",,N,"Nars 炫色腮紅,炫色腮紅,高潮腮紅",2015/7/28,,N,N,73,Y,https://pic.pimg.tw/styleme/1487144017-3235540865.png,,,,,,
